001000;21;16;0;5;5;16
000100;21;16;0;5;5;16
000111;21;0;;5;16;
000110;21;0;;5;16;
000101;21;16;0;5;5;16
000010;0;;;21;;
000011;0;;;21;;
001111;16;0;;5;16;
100011;21;16;0;5;5;16
101011;21;16;0;5;5;16
